trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0034638	0.0007
-0.0107	-0.0327	-0.0101	-0.0004537856055185257	6.45771823237902e-05	4.886921905584123e-05	0.86511832	25.17575073	0.84110211	0.08186160034490784	0.00293881	0.00041
-0.0033	-0.0308	-0.0244	-0.0006859143960337716	-3.316125578789226e-05	0.00031415926535897925	0.86438942	25.15453911	0.83122819	0.05335786374650332	0.0026871	0.00026
0.0145	0.0039	-0.0527	-0.000661479786505851	-6.632251157578452e-05	0.00023387411976724014	0.89324164	25.99416542	0.81866771	0.08769405054537759	0.00261652	0.00014
0.015	0.022	-0.0903	-0.000486946861306418	-8.37758040957278e-05	9.773843811168246e-05	0.78265852	22.77609253	0.79573007	0.0726060949687467	0.0029456	0.00014
0.0029	-0.0183	-0.1159	-0.0008237954069413235	-3.839724354387525e-05	-0.00012217304763960306	0.78297782	22.78538513	0.80455471	0.10810692959690216	0.00334662	0.00031
0.0074	0.0011	-0.116	-0.0011501719770642632	-0.00012042771838760874	-7.853981633974481e-05	0.78683186	22.89754105	0.80443563	0.04660201381332658	0.00337207	0.00024
-0.0011	0.026	-0.1291	-0.0010210176124166828	-0.0001308996938995747	3.316125578789226e-05	0.7485832	21.7844696	0.79952008	0.05906637061435916	0.00367492	0.00048
0.0157	0.0287	-0.1803	-0.000635299847725936	-0.00014137166941154068	7.155849933176751e-05	0.86668336	25.2212944	0.84682469	0.09242934918732942	0.00488889	0.00026
0.02	-0.0496	-0.1906	-0.0011501719770642632	-0.00031415926535897925	8.726646259971648e-06	0.76933151	22.38826561	0.81632779	0.13042457891787806	0.00539947	0.0005
0.0158	-0.0617	-0.1797	-0.001689478715930511	-0.0002583087292951608	0.00010995574287564276	0.80963945	23.56126404	0.83245943	0.06201931857728685	0.00584948	0.00055
-0.0235	-0.0296	-0.1889	-0.0018238690683340744	-0.00013962634015954637	-1.7453292519943294e-06	0.7898947	22.98667336	0.83220992	0.09883869068334077	0.00588471	0.0013
-0.0217	-0.0187	-0.1913	-0.0017191493132144146	-0.00015533430342749534	7.67944870877505e-05	0.69429022	20.20449257	0.77290077	0.025048376736367665	0.00596738	0.00113
0.0026	-0.0116	0.0397	0.00042411500823462205	-0.0001239183768915974	0.0001937315469713706	1.72031629	50.06280899	1.36048187	0.3769808653934277	0.00403184	0.00072
-0.0008	-0.0365	0.0068	-0.0002897246558310587	-0.00015533430342749534	0.00035604716740684323	0.92060697	26.79052162	0.88912358	0.10657856055185257	0.00316012	5e-05
-0.0023	-0.0716	0.0935	-0.0006946410422937432	1.7453292519943296e-05	0.0002513274122871834	0.91994566	26.77127647	0.83436102	0.15742118687648912	0.00421548	0.00012
-0.0174	-0.0725	0.1663	-0.0008936085770210966	-5.759586531581287e-05	0.0003630284844148205	1.11761808	32.52372742	0.97210766	0.10808588823453733	0.00680459	0.00024
-0.0139	0.0414	0.0968	-0.0004886921905584122	1.0471975511965975e-05	0.00031415926535897925	1.01341665	29.49137115	0.89665028	0.2129926723173152	0.00417256	2e-05
-0.0126	0.0407	0.0306	-0.00033335788713091696	-2.4434609527920616e-05	0.00014486232791552936	0.94107151	27.38605881	0.86549262	0.08617689129554158	0.0034892	0.00014
0.0065	-0.0264	0.0259	-0.000705113017805709	-0.00010821041362364843	0.00022165681500327985	0.85345876	24.83644676	0.8335028	0.11751627109291352	0.00310951	0.00017
0.01	-0.0688	0.2755	-0.001614429558094755	-0.00017627825445142725	0.0002897246558310587	1.93632698	56.34892273	1.30307641	0.34777261109723023	0.012899	0.01851
-0.0066	-0.062	0.2769	-0.001574286985298885	-0.00015184364492350666	0.00014660765716752367	1.71775258	49.98820114	1.28694274	0.035184709049366235	0.011353	0.00606
-0.0017	-0.0149	0.2138	-0.0015271630954950383	-0.0002007128639793479	0.00018675022996339323	0.96391338	28.05077934	0.93307889	0.12190678408277789	0.00751591	0.00041
0.0079	0.0367	0.2195	-0.001429424657383356	-0.00015184364492350666	0.00033335788713091696	0.7476837	21.75829315	0.79244517	0.08156076571675239	0.00756347	0.00031
0.0125	0.0414	0.183	-0.0012775810124598492	-0.00017627825445142725	0.00030368728984701333	0.81464362	23.70689011	0.81869248	0.05609744258676655	0.00597495	0.0001
-0.0092	-0.0288	0.1255	-0.0008028514559173916	-9.42477796076938e-05	-4.0142572795869576e-05	0.97240549	28.29790688	0.87689015	0.19442949470145365	0.00462985	0.00012
0.0097	0.0071	0.1446	-0.0011379546723003027	-8.901179185171081e-05	-1.2217304763960308e-05	1.08673942	31.62513161	0.98824201	0.09231322360854016	0.00645733	0.00394
0.0129	0.06	0.1481	-0.000947713783832921	-0.00019024088846738194	5.235987755982988e-06	0.81331515	23.66823006	0.81464123	0.07504616388014981	0.00609493	0.00341
-0.01	0.0259	0.1775	-0.0015550883635269475	0.0003665191429188092	0.0002024581932313422	0.89226812	25.96583557	0.86442495	0.1544678408277788	0.00672412	0.00315
-0.0114	-0.0029	0.1895	-0.0014276793281313615	0.00015184364492350666	0.00012042771838760874	0.82567763	24.02799034	0.84195526	0.0634057504117311	0.00670999	0.00204
-0.0222	-0.038	0.1411	-0.0012322024519079964	0.00019024088846738194	-0.0001012290966156711	0.97688037	28.4281311	0.92231996	0.117076546738526	0.00473654	0.0006
-0.0127	-0.0251	0.1415	-0.0009773843811168245	0.00018500490071139895	-0.0002530727415391778	0.87417185	25.43921661	0.88098838	0.04339488517353306	0.00457102	7e-05
-0.0026	-0.0096	0.1366	-0.0013526301702956054	0.00014311699866353502	-0.00028623399732707005	0.94332552	27.45165253	0.8402906	0.05301474735072685	0.00441694	0.0001
0.0136	0.0613	0.0387	-0.000439822971502571	-1.7453292519943294e-06	-0.0001605702911834783	1.10795903	32.24264145	0.96430063	0.24416666164260772	0.00315809	0.00014
0.016	0.0785	0.0028	-0.0002652900463031381	9.250245035569947e-05	-0.0002181661564992912	0.91355455	26.585289	0.86103448	0.07181882850614699	0.00264966	7e-05
-0.0188	0.0516	-0.2161	0.000153588974175501	0.0005427973973702365	-1.7453292519943296e-05	1.92398036	55.98962402	1.28201945	0.33409434157362616	0.010503	0.01238
0.0312	-0.0926	0.1588	-0.002190388211252884	0.00016929693744344995	0.0011780972450961724	2.68361187	78.09561157	1.68008786	0.7647514091485643	0.0069021	0.00228
0.0265	-0.1407	0.0272	-0.0019285888234537342	0.00017278759594743863	0.0007801621756414653	1.19581294	34.79927063	1.01359754	0.21756125578789223	0.00433344	0.00034
0.0065	-0.1479	0.1942	-0.0027279496208671367	0.0001186823891356144	0.0011519173063162574	1.19804955	34.86436081	0.99926668	0.25546105674500097	0.00833994	0.00151
-0.0226	0.0368	0.1891	-0.0022759093446006054	-3.839724354387525e-05	0.0011187560505283654	1.02868521	29.93569946	0.97043363	0.2510140582366957	0.00673741	0.00058
-0.0298	0.0247	0.1605	-0.0022636920398366456	0.00020943951023931956	0.0010978120995044332	0.83043736	24.166502	0.84306292	0.06194990047855432	0.00586706	0.00031
0.0026	-0.0119	0.1492	-0.0023073252711365037	-7.853981633974481e-05	0.0011711159280881952	0.85511142	24.88454056	0.84564165	0.10054581932313424	0.00563288	0.0001
0.0008	-0.0051	0.089	-0.0023073252711365037	-1.7453292519943294e-06	0.00102799892942466	0.80675513	23.47732735	0.8185257	0.07979557428756427	0.00372857	0.0
0.0059	0.0406	-0.1275	0.00021118483949131387	0.0003665191429188092	-0.0004939281783143952	1.61900055	47.11442566	1.12703856	0.48773508452688374	0.00352228	7e-05
0.0208	0.0269	-0.0507	-0.0004433136300065597	0.00020594885173533088	-0.0004415683007545654	0.96951205	28.21370506	0.85847016	0.1487714319120591	0.0030371	0.0001
0.0181	-0.0603	0.009	-0.0010210176124166828	-7.330382858376184e-05	-0.00047647488579445195	1.04869723	30.51806641	0.91955308	0.19419316238845516	0.00254995	0.00012
0.0175	-0.0773	-0.0666	-0.0010803588069844899	-8.726646259971648e-05	-0.0007068583470577034	0.88683021	25.80758667	0.84852786	0.10838436449235064	0.00293362	0.00029
0.0129	0.0439	-0.0332	-0.0006265732014659643	2.094395102393195e-05	-0.0005864306286700947	0.99444586	28.93930244	0.88008329	0.19332118687648916	0.00256008	0.0001
-0.0075	-0.0503	0.2974	-0.0023544491609403502	-1.7453292519943296e-05	-0.0007208209810736582	2.30300641	67.01963806	1.72567465	0.5402331777710913	0.0144674	0.02997
-0.0262	-0.0244	0.0751	-0.0012269664641520136	8.901179185171081e-05	-0.0005672320068981572	1.76832378	51.4598732	1.43748245	0.33627683776677464	0.00297362	2e-05
-0.0324	-0.0951	-0.065	-0.0003577924966588376	-0.0010471975511965976	-9.42477796076938e-05	1.31029046	38.13067627	1.08442877	0.34091837689159743	0.00385433	0.00072
-0.003	-0.0622	-0.0559	-0.0011431906600562858	-0.0006562437987498679	-0.00042236967898262774	0.94702131	27.5592041	0.90687093	0.14662369076095563	0.00277996	2e-05
-0.0033	-0.06	-0.0744	-0.0011449359893082802	-0.0006510078109938849	-0.0003612831551628262	0.82136112	23.90237427	0.81797311	0.024403392041388944	0.00264937	2e-05
0.0066	-0.0223	-0.0401	-0.000757472895365539	-0.0008621926504851988	-0.0003106686068549907	0.83123225	24.18963432	0.82529698	0.11436312408709452	0.00263178	5e-05
0.0025	-0.0047	-0.0426	-0.0007155849933176752	-0.0008168140899333463	-0.00027750735106709843	0.77324957	22.5022831	0.80058513	0.030221385919380433	0.00209576	5e-05
0.0207	0.0045	-0.0045	-0.0006126105674500097	-0.0008464846872172499	-0.0002007128639793479	0.85298645	24.82270241	0.80548958	0.07597197551196598	0.00257915	0.00012
0.0042	-0.0163	0.0107	-0.0006510078109938849	-0.0007714355293814937	-0.00041538836197465044	0.99438792	28.93761635	0.89596736	0.0689060949687467	0.00280821	2e-05
-0.0318	0.0058	-0.0507	-0.00037350045992678646	-0.0006265732014659643	-0.000593411945678072	0.93728143	27.27576447	0.8838931	0.14951966313430243	0.00278348	0.00014
-0.0311	0.007	-0.0513	-0.0004188790204786391	-0.0006702064327658224	-0.0006038839211900379	0.90174299	26.24156189	0.83621979	0.007474188368183832	0.00287157	0.00026
